State,Coordinates
Uttar Pradesh,"{'Latitude': 25.307, 'Longitude': 82.9905}"
Uttar Pradesh,"{'Latitude': 26.5639, 'Longitude': 83.1047}"
Uttar Pradesh,"{'Latitude': 26.861, 'Longitude': 83.5856}"
Uttar Pradesh,"{'Latitude': 25.5021, 'Longitude': 83.2101}"
Uttar Pradesh,"{'Latitude': 26.1298, 'Longitude': 83.2373}"
Uttar Pradesh,"{'Latitude': 25.5468, 'Longitude': 83.8505}"
Uttar Pradesh,"{'Latitude': 25.264, 'Longitude': 83.3499}"
Uttar Pradesh,"{'Latitude': 26.8146, 'Longitude': 82.7654}"
Uttar Pradesh,"{'Latitude': 26.7157, 'Longitude': 83.8868}"
Uttar Pradesh,"{'Latitude': 25.748, 'Longitude': 83.6571}"
Uttar Pradesh,"{'Latitude': 25.1685, 'Longitude': 82.6666}"
Uttar Pradesh,"{'Latitude': 25.5533, 'Longitude': 84.1505}"
Uttar Pradesh,"{'Latitude': 26.6961, 'Longitude': 84.2882}"
Uttar Pradesh,"{'Latitude': 27.0542, 'Longitude': 83.8642}"
Uttar Pradesh,"{'Latitude': 25.3998, 'Longitude': 82.5676}"
Uttar Pradesh,"{'Latitude': 26.429, 'Longitude': 82.5343}"
Uttar Pradesh,"{'Latitude': 26.7548, 'Longitude': 83.3762}"
Uttar Pradesh,"{'Latitude': 25.7914, 'Longitude': 84.4816}"
Uttar Pradesh,"{'Latitude': 26.8748, 'Longitude': 83.9668}"
Uttar Pradesh,"{'Latitude': 26.8914, 'Longitude': 83.8769}"
Uttar Pradesh,"{'Latitude': 27.0996, 'Longitude': 83.2749}"
Uttar Pradesh,"{'Latitude': 25.5587, 'Longitude': 84.455}"
Uttar Pradesh,"{'Latitude': 24.9996, 'Longitude': 82.3461}"
Uttar Pradesh,"{'Latitude': 25.2719, 'Longitude': 82.8575}"
Uttar Pradesh,"{'Latitude': 25.7942, 'Longitude': 84.457}"
Uttar Pradesh,"{'Latitude': 27.4405, 'Longitude': 83.4266}"
Uttar Pradesh,"{'Latitude': 27.3282, 'Longitude': 83.7194}"
Uttar Pradesh,"{'Latitude': 26.1028, 'Longitude': 84.2915}"
Uttar Pradesh,"{'Latitude': 26.7904, 'Longitude': 82.4624}"
Uttar Pradesh,"{'Latitude': 26.4365, 'Longitude': 82.5437}"
Uttar Pradesh,"{'Latitude': 24.9216, 'Longitude': 82.5606}"
Uttar Pradesh,"{'Latitude': 25.5785, 'Longitude': 83.5743}"
Uttar Pradesh,"{'Latitude': 25.6647, 'Longitude': 83.6927}"
Uttar Pradesh,"{'Latitude': 27.1439, 'Longitude': 83.5532}"
Uttar Pradesh,"{'Latitude': 23.5888, 'Longitude': 83.7446}"
Uttar Pradesh,"{'Latitude': 27.2776, 'Longitude': 82.2954}"
Uttar Pradesh,"{'Latitude': 26.1533, 'Longitude': 83.3306}"
Uttar Pradesh,"{'Latitude': 25.8296, 'Longitude': 83.4874}"
Uttar Pradesh,"{'Latitude': 25.8705, 'Longitude': 82.1598}"
Uttar Pradesh,"{'Latitude': 25.3045, 'Longitude': 82.9782}"
Uttar Pradesh,"{'Latitude': 24.2206, 'Longitude': 83.8886}"
Uttar Pradesh,"{'Latitude': 26.7997, 'Longitude': 83.0978}"
Uttar Pradesh,"{'Latitude': 24.0865, 'Longitude': 84.0118}"
Uttar Pradesh,"{'Latitude': 26.9112, 'Longitude': 82.9628}"
Uttar Pradesh,"{'Latitude': 26.4976, 'Longitude': 83.7782}"
Uttar Pradesh,"{'Latitude': 25.7831, 'Longitude': 83.4481}"
Uttar Pradesh,"{'Latitude': 25.718, 'Longitude': 84.4746}"
Uttar Pradesh,"{'Latitude': 24.7375, 'Longitude': 83.2191}"
Uttar Pradesh,"{'Latitude': 25.4328, 'Longitude': 82.8271}"
Uttar Pradesh,"{'Latitude': 25.6353, 'Longitude': 84.3836}"
Uttar Pradesh,"{'Latitude': 25.6269, 'Longitude': 83.6834}"
Uttar Pradesh,"{'Latitude': 25.0834, 'Longitude': 82.7398}"
Uttar Pradesh,"{'Latitude': 24.7713, 'Longitude': 83.1679}"
Uttar Pradesh,"{'Latitude': 25.5821, 'Longitude': 83.5792}"
Uttar Pradesh,"{'Latitude': 24.6432, 'Longitude': 82.3444}"
Uttar Pradesh,"{'Latitude': 26.3048, 'Longitude': 83.4883}"
Uttar Pradesh,"{'Latitude': 25.7437, 'Longitude': 83.8264}"
Uttar Pradesh,"{'Latitude': 25.8415, 'Longitude': 83.8389}"
Uttar Pradesh,"{'Latitude': 26.1098, 'Longitude': 84.5048}"
Uttar Pradesh,"{'Latitude': 25.7886, 'Longitude': 83.3565}"
Uttar Pradesh,"{'Latitude': 27.001, 'Longitude': 83.0406}"
Uttar Pradesh,"{'Latitude': 25.6831, 'Longitude': 83.3286}"
Uttar Pradesh,"{'Latitude': 25.268, 'Longitude': 82.535}"
Uttar Pradesh,"{'Latitude': 26.2356, 'Longitude': 83.3143}"
Uttar Pradesh,"{'Latitude': 25.6961, 'Longitude': 83.4275}"
Uttar Pradesh,"{'Latitude': 26.9837, 'Longitude': 82.5361}"
Uttar Pradesh,"{'Latitude': 25.931, 'Longitude': 83.0279}"
Uttar Pradesh,"{'Latitude': 24.6811, 'Longitude': 83.0667}"
Uttar Pradesh,"{'Latitude': 25.5426, 'Longitude': 82.223}"
Uttar Pradesh,"{'Latitude': 27.3204, 'Longitude': 82.4053}"
Uttar Pradesh,"{'Latitude': 24.0435, 'Longitude': 83.9826}"
Uttar Pradesh,"{'Latitude': 25.9628, 'Longitude': 83.0784}"
Uttar Pradesh,"{'Latitude': 26.0476, 'Longitude': 83.1721}"
Uttar Pradesh,"{'Latitude': 26.2878, 'Longitude': 82.2445}"
Uttar Pradesh,"{'Latitude': 25.1626, 'Longitude': 82.4897}"
Uttar Pradesh,"{'Latitude': 27.261, 'Longitude': 83.0027}"
Uttar Pradesh,"{'Latitude': 25.9996, 'Longitude': 83.0993}"
Uttar Pradesh,"{'Latitude': 27.5551, 'Longitude': 82.4448}"
Uttar Pradesh,"{'Latitude': 26.737, 'Longitude': 83.9214}"
Uttar Pradesh,"{'Latitude': 25.8214, 'Longitude': 82.9279}"
Uttar Pradesh,"{'Latitude': 25.7696, 'Longitude': 82.286}"
Uttar Pradesh,"{'Latitude': 26.7859, 'Longitude': 83.0025}"
Uttar Pradesh,"{'Latitude': 25.7129, 'Longitude': 83.8588}"
Uttar Pradesh,"{'Latitude': 26.1669, 'Longitude': 82.3717}"
Uttar Pradesh,"{'Latitude': 24.3246, 'Longitude': 83.8173}"
Uttar Pradesh,"{'Latitude': 27.1234, 'Longitude': 82.3181}"
Uttar Pradesh,"{'Latitude': 26.7438, 'Longitude': 83.9182}"
Uttar Pradesh,"{'Latitude': 25.6698, 'Longitude': 83.8565}"
Uttar Pradesh,"{'Latitude': 26.6849, 'Longitude': 84.1789}"
Uttar Pradesh,"{'Latitude': 25.9843, 'Longitude': 83.0972}"
Uttar Pradesh,"{'Latitude': 24.0311, 'Longitude': 83.7189}"
Uttar Pradesh,"{'Latitude': 27.1025, 'Longitude': 82.5953}"
Uttar Pradesh,"{'Latitude': 25.7494, 'Longitude': 82.2135}"
Uttar Pradesh,"{'Latitude': 25.9865, 'Longitude': 82.87}"
Uttar Pradesh,"{'Latitude': 25.7483, 'Longitude': 84.0164}"
Uttar Pradesh,"{'Latitude': 25.9591, 'Longitude': 83.0247}"
Uttar Pradesh,"{'Latitude': 26.073, 'Longitude': 83.88}"
Uttar Pradesh,"{'Latitude': 26.1629, 'Longitude': 82.3762}"
Uttar Pradesh,"{'Latitude': 26.1515, 'Longitude': 83.9109}"
Uttar Pradesh,"{'Latitude': 25.4634, 'Longitude': 82.4178}"
Uttar Pradesh,"{'Latitude': 26.5657, 'Longitude': 83.6305}"
Uttar Pradesh,"{'Latitude': 27.0587, 'Longitude': 83.6108}"
Uttar Pradesh,"{'Latitude': 26.6893, 'Longitude': 82.8935}"
Uttar Pradesh,"{'Latitude': 26.537, 'Longitude': 83.4062}"
Uttar Pradesh,"{'Latitude': 25.9031, 'Longitude': 83.2073}"
Uttar Pradesh,"{'Latitude': 26.0461, 'Longitude': 82.4256}"
Uttar Pradesh,"{'Latitude': 25.0163, 'Longitude': 83.1249}"
Uttar Pradesh,"{'Latitude': 25.353, 'Longitude': 82.9624}"
Uttar Pradesh,"{'Latitude': 24.6895, 'Longitude': 83.07}"
Uttar Pradesh,"{'Latitude': 25.312, 'Longitude': 83.0049}"
Uttar Pradesh,"{'Latitude': 25.8758, 'Longitude': 82.1906}"
Uttar Pradesh,"{'Latitude': 25.6552, 'Longitude': 82.8742}"
Uttar Pradesh,"{'Latitude': 26.1054, 'Longitude': 83.1567}"
Uttar Pradesh,"{'Latitude': 25.2962, 'Longitude': 83.6607}"
Uttar Pradesh,"{'Latitude': 25.2617, 'Longitude': 83.25}"
Uttar Pradesh,"{'Latitude': 26.737, 'Longitude': 83.653}"
Uttar Pradesh,"{'Latitude': 26.1728, 'Longitude': 82.7255}"
Uttar Pradesh,"{'Latitude': 26.25, 'Longitude': 82.2293}"
Uttar Pradesh,"{'Latitude': 25.5362, 'Longitude': 82.9323}"
Uttar Pradesh,"{'Latitude': 25.689, 'Longitude': 82.4159}"
Uttar Pradesh,"{'Latitude': 27.0057, 'Longitude': 82.2509}"
Uttar Pradesh,"{'Latitude': 24.1591, 'Longitude': 83.8042}"
Uttar Pradesh,"{'Latitude': 26.0913, 'Longitude': 82.8068}"
Uttar Pradesh,"{'Latitude': 26.202, 'Longitude': 82.5785}"
Uttar Pradesh,"{'Latitude': 24.5625, 'Longitude': 82.2398}"
Uttar Pradesh,"{'Latitude': 25.9067, 'Longitude': 83.8427}"
Uttar Pradesh,"{'Latitude': 23.9581, 'Longitude': 83.0547}"
Uttar Pradesh,"{'Latitude': 25.9459, 'Longitude': 83.5709}"
Uttar Pradesh,"{'Latitude': 27.3462, 'Longitude': 82.3589}"
Uttar Pradesh,"{'Latitude': 26.2896, 'Longitude': 83.5054}"
Uttar Pradesh,"{'Latitude': 26.7767, 'Longitude': 84.712}"
Uttar Pradesh,"{'Latitude': 25.9054, 'Longitude': 83.1161}"
Uttar Pradesh,"{'Latitude': 24.833, 'Longitude': 83.2576}"
Uttar Pradesh,"{'Latitude': 24.6801, 'Longitude': 83.9966}"
Uttar Pradesh,"{'Latitude': 25.8377, 'Longitude': 84.5759}"
Uttar Pradesh,"{'Latitude': 26.4767, 'Longitude': 82.2997}"
Uttar Pradesh,"{'Latitude': 26.0612, 'Longitude': 83.004}"
Uttar Pradesh,"{'Latitude': 26.4784, 'Longitude': 82.3}"
Uttar Pradesh,"{'Latitude': 26.2756, 'Longitude': 83.0056}"
Uttar Pradesh,"{'Latitude': 25.7526, 'Longitude': 83.1801}"
Uttar Pradesh,"{'Latitude': 26.7659, 'Longitude': 82.7616}"
Uttar Pradesh,"{'Latitude': 24.0387, 'Longitude': 83.744}"
